name,country,city.pop,mean.range,mean.rain,mean.hum,mean.mean,cum.cases,max.b,avg.b,local.trans,mean.mean.sq
El_Salvador-Usulutan,El_Salvador,12.83445461,12.38888889,-3.25,60.74570106,28.36157407,280,28.00844213,2.102047683,1,804.378884
Colombia-Norte_Santander,Colombia,13.36984826,4.174603175,1.65220932,69.11904762,31.3531746,55,5.000181232,1.083356819,1,983.0215577
Colombia-Huila,Colombia,12.69526597,10.73616931,2.703210299,68.04866667,19.10426984,51,4.000152174,0.666683598,1,364.9731262
Colombia-Cordoba,Colombia,12.77223836,5.050926,2.228527447,75.22156085,28.57142857,12,0,0,0,816.3265306
Colombia-Valle,Colombia,14.68408055,11.40873016,1.975029155,79.82936508,24.31746032,764,91.00568266,15.14039615,1,591.3388763
Colombia-Tolima,Colombia,13.18702689,9.676587302,1.846948305,74.74404762,24.21693122,88,7.000281771,1.361159897,1,586.4597576
Colombia-Cesar,Colombia,12.91188923,10.43121693,1.085150524,58.21560847,29.23809524,38,2.000036071,0.333338238,1,854.8662132
Colombia-Sucre,Colombia,12.4889934,10.21031746,2.228527447,75.22156085,28.53108466,28,2.000020728,0.166669354,1,814.0227917
Colombia-Magdalena,Colombia,13.08715062,7.646825397,-0.851370026,80.21428571,28.49206349,8.000000004,0,0,0,811.797682
Colombia-Antioquia,Colombia,14.72376912,9.988888889,-3.25,61.45873016,22.5515873,51,3.000019465,0.638891894,1,508.5740898
Colombia-Meta,Colombia,13.08569939,7.917328042,2.790083868,77.53902116,27.85185185,52,6.000096175,0.777800375,1,775.7256516
Colombia-Santander,Colombia,13.16561442,8.884152586,3.012908115,88.52534562,21.59267793,145,10.00006683,3.027809126,1,466.2437402
Colombia-Caqueta,Colombia,11.96400108,8.972222222,3.124962956,80.96428571,17.57936508,13,1.000002883,0.027777858,1,309.0340766
Colombia-Cundinamarca,Colombia,13.1760937,10.93650794,1.888230051,74.68253968,14.06746032,58,4.000440775,1.055630149,1,197.8934398
Colombia-Guajira,Colombia,12.37497118,8.232804233,-0.40605397,66.86111111,28.76917989,10,0,0,0,827.6657118
Colombia-Arauca,Colombia,11.27593651,9.012566138,2.89009786,77.00066138,27.18187831,11,0,0,0,738.8545083
Colombia-Risaralda,Colombia,12.90221534,9.277777778,2.43094379,78.00793651,22.0952381,34,2.00007463,0.166676514,1,488.1995465
